https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BUSD,tradecount
1586995200000,2020-04-16,ETHBUSD,152.72,175.06,148.46,172.56,32961.77071,5502458.2377955,29428
1586908800000,2020-04-15,ETHBUSD,158.47,161.45,151.87,152.79,17687.89639,2789435.7481158,13667
1586822400000,2020-04-14,ETHBUSD,156.76,162.18,155.55,158.69,18475.50059,2934594.2582642,13388
1586736000000,2020-04-13,ETHBUSD,158.68,159.35,150.0,156.82,21841.60353,3374990.1284314,17209
1586649600000,2020-04-12,ETHBUSD,158.71,165.24,155.24,158.72,20003.60893,3230746.6914773,12418
1586563200000,2020-04-11,ETHBUSD,158.14,161.7,154.15,158.69,19921.42072,3151903.9341238,10894
1586476800000,2020-04-10,ETHBUSD,169.79,170.35,152.33,158.02,27834.11387,4434008.2080049,18163
1586390400000,2020-04-09,ETHBUSD,173.31,173.55,165.3,169.79,14620.85875,2493797.5889241,11925
1586304000000,2020-04-08,ETHBUSD,164.57,174.67,163.57,173.41,16076.49605,2736182.8363042,12152
1586217600000,2020-04-07,ETHBUSD,171.47,176.32,162.33,164.64,33523.56981,5718358.3293292,20510
1586131200000,2020-04-06,ETHBUSD,142.92,172.0,142.86,171.54,31255.26637,4932907.9199853,25038
1586044800000,2020-04-05,ETHBUSD,144.55,145.86,140.78,142.98,6868.97198,984170.2323707,6606
1585958400000,2020-04-04,ETHBUSD,141.31,146.55,139.15,144.34,11667.55985,1661868.310832,9315
1585872000000,2020-04-03,ETHBUSD,141.34,146.93,138.0,141.32,30975.99416,4409088.0550562,13359
1585785600000,2020-04-02,ETHBUSD,136.19,150.2,135.51,141.4,32024.16868,4513708.4173754,16656
1585699200000,2020-04-01,ETHBUSD,133.22,137.14,128.97,136.18,16444.47642,2176535.9132068,10260
1585612800000,2020-03-31,ETHBUSD,132.31,135.44,130.58,133.06,16986.36962,2258472.3538025,9482
1585526400000,2020-03-30,ETHBUSD,124.71,135.51,124.08,132.31,18875.34925,2477113.2332649,11474
1585440000000,2020-03-29,ETHBUSD,131.33,132.11,123.9,124.32,13111.77542,1670088.4953741,7499
1585353600000,2020-03-28,ETHBUSD,131.33,133.21,125.0,131.24,16479.34042,2125123.3889805,10368
1585267200000,2020-03-27,ETHBUSD,138.87,141.72,130.0,131.54,18270.95569,2500382.5019341,9159
1585180800000,2020-03-26,ETHBUSD,136.39,140.06,133.5,138.81,20236.9597,2755852.9643599,12270
1585094400000,2020-03-25,ETHBUSD,138.75,142.8,133.0,136.51,31606.07594,4333413.5320732,19646
1585008000000,2020-03-24,ETHBUSD,136.48,144.0,133.0,139.01,44486.82093,6138490.0966333,30811
1584921600000,2020-03-23,ETHBUSD,122.32,138.09,119.5,136.39,33399.03112,4314429.381944,25072
1584835200000,2020-03-22,ETHBUSD,132.7,137.35,121.11,122.42,27343.33121,3541251.0963016,19704
1584748800000,2020-03-21,ETHBUSD,133.59,137.82,125.85,132.78,29888.91305,3938078.4517602,20243
1584662400000,2020-03-20,ETHBUSD,136.86,153.0,116.5,133.5,45292.9497,6193773.1648628,34584
1584576000000,2020-03-19,ETHBUSD,118.7,143.5,115.8,136.81,42137.92224,5432731.2346562,37671
1584489600000,2020-03-18,ETHBUSD,116.14,118.85,110.15,118.56,36056.21437,4150989.7180535,25226
1584403200000,2020-03-17,ETHBUSD,111.46,121.24,109.45,116.16,37731.97027,4420165.3301634,18554
1584316800000,2020-03-16,ETHBUSD,123.44,124.07,101.0,110.98,46742.06668,5201192.4284886,27717
1584230400000,2020-03-15,ETHBUSD,122.54,133.94,120.2,123.56,45044.67339,5575270.0191788,19541
1584144000000,2020-03-14,ETHBUSD,135.7,135.71,120.84,122.7,51996.11848,6705222.1828611,29674
1584057600000,2020-03-13,ETHBUSD,107.58,140.33,85.67,135.03,100764.58219,11757965.8792933,63062
1583971200000,2020-03-12,ETHBUSD,195.03,195.52,100.53,107.59,158890.52373,22847734.7332613,74861
1583884800000,2020-03-11,ETHBUSD,200.59,203.13,181.81,194.85,41317.5847,7976871.757936,16253
1583798400000,2020-03-10,ETHBUSD,203.03,206.24,195.61,200.63,17554.38159,3538578.7634549,11719
1583712000000,2020-03-09,ETHBUSD,199.5,208.49,189.69,202.63,41207.42536,8274055.4257989,19190
1583625600000,2020-03-08,ETHBUSD,237.34,237.34,195.5,199.35,66959.46199,14420687.5563112,22761
1583539200000,2020-03-07,ETHBUSD,245.88,252.36,236.44,237.37,13624.93751,3316948.6840451,7808
1583452800000,2020-03-06,ETHBUSD,228.57,245.84,227.69,245.56,31688.53983,7472363.6349593,12108
1583366400000,2020-03-05,ETHBUSD,224.64,234.21,224.64,228.63,14453.02958,3330137.3653666,8312
1583280000000,2020-03-04,ETHBUSD,224.0,228.64,220.33,224.62,12389.64602,2772253.8064713,5895
1583193600000,2020-03-03,ETHBUSD,232.17,232.99,220.1,223.63,18298.41834,4170206.7436294,8520
1583107200000,2020-03-02,ETHBUSD,217.35,234.3,215.97,232.04,11712.33851,2645434.0544225,6814
1583020800000,2020-03-01,ETHBUSD,217.15,227.5,212.37,217.4,10634.75836,2333788.9086359,7379
1582934400000,2020-02-29,ETHBUSD,227.11,233.18,217.12,217.48,7633.70043,1722769.5132018,6115
1582848000000,2020-02-28,ETHBUSD,227.96,234.47,213.97,227.15,11380.47297,2546569.2357186,8724
1582761600000,2020-02-27,ETHBUSD,223.32,238.13,209.74,227.6,15039.46633,3402487.7000489,9539
1582675200000,2020-02-26,ETHBUSD,245.9,250.0,215.51,223.58,16320.98548,3774848.9266479,13280
1582588800000,2020-02-25,ETHBUSD,265.47,265.97,244.5,246.55,13038.84791,3317541.9424839,7957
1582502400000,2020-02-24,ETHBUSD,275.11,277.87,257.22,265.41,12778.84308,3431445.0801939,9611
1582416000000,2020-02-23,ETHBUSD,261.98,276.32,261.49,275.11,7880.80814,2139989.9272577,8356
1582329600000,2020-02-22,ETHBUSD,265.58,266.94,256.47,262.13,4633.41048,1210068.2453931,3758
1582243200000,2020-02-21,ETHBUSD,257.05,268.36,254.01,265.35,10580.67007,2778255.8236074,6996
1582156800000,2020-02-20,ETHBUSD,258.38,264.28,245.8,257.57,10628.22615,2718274.1771073,10362
1582070400000,2020-02-19,ETHBUSD,283.54,285.09,251.53,258.47,8130.90614,2220582.6767923,9413
1581984000000,2020-02-18,ETHBUSD,267.85,286.44,259.08,283.16,11826.61425,3242209.1260721,12605
1581897600000,2020-02-17,ETHBUSD,258.92,268.43,242.36,267.75,13936.30492,3534848.9636181,12677
1581811200000,2020-02-16,ETHBUSD,264.74,273.87,237.03,259.18,14291.0244,3716590.8117263,10004
1581724800000,2020-02-15,ETHBUSD,285.71,288.85,261.69,264.72,10248.81623,2814344.1214962,9161
1581638400000,2020-02-14,ETHBUSD,268.64,288.21,260.35,285.76,6872.42008,1886049.3945054,8253
1581552000000,2020-02-13,ETHBUSD,266.36,277.92,256.0,268.42,8398.30068,2249855.4379155,10649
1581465600000,2020-02-12,ETHBUSD,238.07,275.93,238.07,266.18,10661.54013,2750215.2105853,9785
1581379200000,2020-02-11,ETHBUSD,223.06,239.57,218.02,237.65,6629.17254,1515609.5999116,5034
1581292800000,2020-02-10,ETHBUSD,228.79,229.64,216.67,222.96,6308.97202,1405439.4028725,4013
1581206400000,2020-02-09,ETHBUSD,223.1,230.67,223.06,228.79,4102.5236,932879.7408647,3268
1581120000000,2020-02-08,ETHBUSD,223.45,227.73,213.39,223.31,5626.41409,1257648.7198236,4353
1581033600000,2020-02-07,ETHBUSD,213.06,224.4,213.06,223.26,5445.57494,1195915.8014272,4721
1580947200000,2020-02-06,ETHBUSD,204.0,216.1,201.13,212.85,3703.4243,780158.5501703,3242
1580860800000,2020-02-05,ETHBUSD,188.58,207.55,187.67,203.73,2740.77512,546528.0413264,1891
