Unix,Date,Symbol,Open,High,Low,Close,Volume TOMO,Volume,tradecount
1623542400000,2021-06-13,TOMOUSDT,1.4378,1.5499,1.4137,1.5264,2933082.92,4375444.372149,20529
1623456000000,2021-06-12,TOMOUSDT,1.4656,1.5142,1.3382,1.4363,2625482.07,3756407.323122,19056
1623369600000,2021-06-11,TOMOUSDT,1.4957,1.5546,1.4215,1.4604,2519175.84,3740190.685761,18574
1623283200000,2021-06-10,TOMOUSDT,1.5965,1.5991,1.465,1.4934,1976165.68,3013403.784206,16822
1623196800000,2021-06-09,TOMOUSDT,1.468,1.5964,1.3671,1.595,3218433.09,4742811.237171,26219
1623110400000,2021-06-08,TOMOUSDT,1.5189,1.5475,1.3214,1.47,4778341.55,6872143.852224,30680
1623024000000,2021-06-07,TOMOUSDT,1.6582,1.7268,1.5,1.5189,2774506.48,4574945.996973,21581
1622937600000,2021-06-06,TOMOUSDT,1.6138,1.6657,1.5907,1.6586,1680737.54,2737510.869907,15783
1622851200000,2021-06-05,TOMOUSDT,1.685,1.7999,1.55,1.6142,4141134.37,7032766.648832,32757
1622764800000,2021-06-04,TOMOUSDT,1.7891,1.8171,1.5438,1.6846,3562214.58,5890371.35935,27152
1622678400000,2021-06-03,TOMOUSDT,1.6876,1.8277,1.6255,1.7886,4610558.89,7985856.725936,36865
1622592000000,2021-06-02,TOMOUSDT,1.7117,1.7533,1.621,1.6858,5882889.69,9862883.25198,42213
1622505600000,2021-06-01,TOMOUSDT,1.51,1.743,1.433,1.7117,8814848.07,14092455.459651,63205
1622419200000,2021-05-31,TOMOUSDT,1.4484,1.5344,1.3414,1.5135,3939393.54,5720361.551672,27524
1622332800000,2021-05-30,TOMOUSDT,1.4076,1.4932,1.3259,1.4492,4080813.82,5797795.623805,30652
1622246400000,2021-05-29,TOMOUSDT,1.3247,1.437,1.2203,1.4086,4582478.81,6049904.287111,27620
1622160000000,2021-05-28,TOMOUSDT,1.4931,1.51,1.2567,1.3224,5612100.88,7692954.656725,35080
1622073600000,2021-05-27,TOMOUSDT,1.5994,1.6365,1.4354,1.4931,4562431.49,7058401.858785,30777
1621987200000,2021-05-26,TOMOUSDT,1.5394,1.614,1.4539,1.6023,5419348.85,8327175.656173,33177
1621900800000,2021-05-25,TOMOUSDT,1.6229,1.67,1.3857,1.5414,5362305.09,8040976.100622,33841
1621814400000,2021-05-24,TOMOUSDT,1.2847,1.65,1.2446,1.6227,11560513.57,17589854.059718,75755
1621728000000,2021-05-23,TOMOUSDT,1.429,1.4937,1.0036,1.2847,9109906.78,11137979.38658,47027
1621641600000,2021-05-22,TOMOUSDT,1.3715,1.5702,1.23,1.4241,7362119.29,10583909.964882,49266
1621555200000,2021-05-21,TOMOUSDT,1.5696,1.6195,1.202,1.3745,6400593.26,9180646.028656,37974
1621468800000,2021-05-20,TOMOUSDT,1.26,1.6348,1.1632,1.5697,8990000.71,13077663.683227,61487
1621382400000,2021-05-19,TOMOUSDT,1.9188,1.959,0.9465,1.26,11409184.4,16921293.704844,72419
1621296000000,2021-05-18,TOMOUSDT,1.8405,1.9559,1.8022,1.9209,3417761.35,6479555.855052,26941
1621209600000,2021-05-17,TOMOUSDT,1.9721,1.9795,1.7399,1.8367,5213606.67,9626996.848108,39472
1621123200000,2021-05-16,TOMOUSDT,1.9641,2.1553,1.8334,1.9704,5061417.64,10205770.291722,35722
1621036800000,2021-05-15,TOMOUSDT,2.2001,2.2229,1.9527,1.969,4229694.77,8782127.029911,36509
1620950400000,2021-05-14,TOMOUSDT,2.1404,2.2521,2.0817,2.1962,3573167.12,7769016.863184,36633
1620864000000,2021-05-13,TOMOUSDT,2.1365,2.3188,2.0203,2.1437,5677170.48,12292743.937208,47260
1620777600000,2021-05-12,TOMOUSDT,2.5517,2.6248,2.1,2.1537,4638806.68,11229495.322342,37919
1620691200000,2021-05-11,TOMOUSDT,2.4408,2.5878,2.3628,2.5502,4019847.04,10007984.964939,38975
1620604800000,2021-05-10,TOMOUSDT,2.7182,2.8249,2.2687,2.442,4267140.71,11053973.739249,47976
1620518400000,2021-05-09,TOMOUSDT,2.7822,2.8023,2.5932,2.7196,3723949.01,10040250.09111,39283
1620432000000,2021-05-08,TOMOUSDT,2.8353,2.9243,2.7372,2.7762,3666533.63,10406140.087726,37061
1620345600000,2021-05-07,TOMOUSDT,2.8374,3.08,2.7101,2.8377,7513381.42,21968099.705236,81693
1620259200000,2021-05-06,TOMOUSDT,2.898,2.9596,2.71,2.8374,5414348.19,15436165.132756,59508
1620172800000,2021-05-05,TOMOUSDT,2.6802,3.0431,2.6539,2.8945,7489546.24,21670858.815693,76196
1620086400000,2021-05-04,TOMOUSDT,2.8001,2.9466,2.5863,2.6853,9750926.53,27131314.197112,97447
1620000000000,2021-05-03,TOMOUSDT,2.4857,2.9555,2.4813,2.8025,9802014.4,27158195.118432,90260
1619913600000,2021-05-02,TOMOUSDT,2.574,2.5894,2.386,2.4838,3338786.88,8303616.886246,33747
1619827200000,2021-05-01,TOMOUSDT,2.5,2.677,2.4264,2.574,6010994.56,15247762.544046,56291
1619740800000,2021-04-30,TOMOUSDT,2.4554,2.5997,2.3935,2.5,4821288.19,12147425.417839,46496
1619654400000,2021-04-29,TOMOUSDT,2.271,2.4842,2.17,2.4554,7391215.95,17386844.088477,70742
1619568000000,2021-04-28,TOMOUSDT,2.3357,2.4278,2.1257,2.2751,4392866.18,9932518.233892,44232
1619481600000,2021-04-27,TOMOUSDT,2.2042,2.4466,2.1737,2.3365,5036328.61,11496545.594968,51386
1619395200000,2021-04-26,TOMOUSDT,1.8737,2.22,1.8585,2.2044,6435153.28,13525853.363002,54225
1619308800000,2021-04-25,TOMOUSDT,1.8596,2.0181,1.75,1.8739,4139721.85,7867306.133635,34573
1619222400000,2021-04-24,TOMOUSDT,2.0193,2.0644,1.8399,1.8635,4776702.9,9328160.533418,38570
1619136000000,2021-04-23,TOMOUSDT,2.1812,2.2487,1.6762,2.0178,10435571.64,20092513.103916,85018
1619049600000,2021-04-22,TOMOUSDT,2.2361,2.537,2.1438,2.1858,7671585.8,18017123.071249,68395
1618963200000,2021-04-21,TOMOUSDT,2.4558,2.5083,2.2083,2.2285,4298324.67,10211543.257332,42782
1618876800000,2021-04-20,TOMOUSDT,2.3148,2.543,2.0783,2.4568,6726703.05,15569455.166948,68539
1618790400000,2021-04-19,TOMOUSDT,2.6464,2.7799,2.2861,2.3061,6022001.84,15081586.729664,63197
1618704000000,2021-04-18,TOMOUSDT,3.1303,3.1622,1.9,2.6469,10267038.7,26570279.824736,113116
1618617600000,2021-04-17,TOMOUSDT,3.1405,3.3896,3.11,3.1301,5263762.99,17193857.247997,60608
1618531200000,2021-04-16,TOMOUSDT,3.2587,3.2887,3.0301,3.1384,5046193.74,16003936.294809,53845
1618444800000,2021-04-15,TOMOUSDT,3.1215,3.3435,3.08,3.2567,9231876.07,29779779.08636,86661
1618358400000,2021-04-14,TOMOUSDT,3.1391,3.2769,2.9525,3.1197,4450112.81,13887766.831064,55063
1618272000000,2021-04-13,TOMOUSDT,3.1184,3.2299,3.001,3.1338,4438429.65,13784094.500739,43210
1618185600000,2021-04-12,TOMOUSDT,3.2817,3.3111,3.045,3.1184,5967601.73,19002900.840429,65867
1618099200000,2021-04-11,TOMOUSDT,3.4544,3.6,3.2391,3.2767,4941611.5,16669825.413454,54554
1618012800000,2021-04-10,TOMOUSDT,3.0983,3.6799,3.0425,3.4568,10090204.87,34057072.567436,105989
1617926400000,2021-04-09,TOMOUSDT,3.1648,3.2612,2.996,3.0983,4671087.91,14677502.170283,47951
1617840000000,2021-04-08,TOMOUSDT,2.8803,3.1807,2.8291,3.1664,6295548.33,18936894.490784,70992
1617753600000,2021-04-07,TOMOUSDT,2.9947,3.0348,2.7304,2.8803,5740644.55,16616180.160927,62540
1617667200000,2021-04-06,TOMOUSDT,3.0879,3.2573,2.8905,2.9934,6420362.16,19591306.252926,58190
1617580800000,2021-04-05,TOMOUSDT,3.1828,3.3987,3.0449,3.09,7562069.45,24356460.053287,76433
1617494400000,2021-04-04,TOMOUSDT,2.5709,3.2971,2.5229,3.1864,12114173.8,36697514.366575,118057
1617408000000,2021-04-03,TOMOUSDT,2.8021,2.8999,2.5611,2.5709,5168662.47,14306521.351349,52459
1617321600000,2021-04-02,TOMOUSDT,2.9334,3.0933,2.721,2.7984,8078794.07,23577618.099169,69380
1617235200000,2021-04-01,TOMOUSDT,2.674,2.9749,2.5976,2.9291,7088158.3,19943998.236719,71338
1617148800000,2021-03-31,TOMOUSDT,2.7703,2.8124,2.5272,2.6753,4843306.25,12951437.966028,46023
1617062400000,2021-03-30,TOMOUSDT,2.6542,2.7734,2.5839,2.77,5067448.45,13610537.314103,49386
1616976000000,2021-03-29,TOMOUSDT,2.5828,2.6776,2.5138,2.655,4345775.16,11335873.085541,39804
1616889600000,2021-03-28,TOMOUSDT,2.5426,2.68,2.4436,2.5807,4509045.71,11611160.362963,45359
1616803200000,2021-03-27,TOMOUSDT,2.492,2.665,2.3946,2.5414,4829141.3,12209882.201269,53916
1616716800000,2021-03-26,TOMOUSDT,2.22,2.57,2.2146,2.4925,6876298.41,16556671.39639,67240
1616630400000,2021-03-25,TOMOUSDT,2.3912,2.4519,2.1639,2.22,8401316.11,19104619.002224,65359
1616544000000,2021-03-24,TOMOUSDT,2.3768,2.75,2.28,2.3985,8778398.59,22369665.255327,78908
1616457600000,2021-03-23,TOMOUSDT,2.5228,2.6749,2.3412,2.3736,8198290.05,20498342.797583,71010
1616371200000,2021-03-22,TOMOUSDT,2.8438,3.07,2.488,2.52,10453713.82,29048417.723629,95609
1616284800000,2021-03-21,TOMOUSDT,2.4612,2.95,2.4,2.8427,12126515.28,32795447.567857,119913
1616198400000,2021-03-20,TOMOUSDT,2.4114,2.6299,2.3946,2.4616,4622289.38,11667230.226184,43789
1616112000000,2021-03-19,TOMOUSDT,2.4545,2.5238,2.3623,2.4112,3709491.86,9142520.848055,31998
1616025600000,2021-03-18,TOMOUSDT,2.4009,2.6388,2.3497,2.4536,6686004.31,16762993.357392,64561
1615939200000,2021-03-17,TOMOUSDT,2.3932,2.4434,2.2538,2.4,3927901.81,9247705.827367,40471
1615852800000,2021-03-16,TOMOUSDT,2.3069,2.4881,2.0909,2.3901,7813260.52,17935623.032561,68094
1615766400000,2021-03-15,TOMOUSDT,2.5243,2.75,2.2179,2.3054,11837716.4,28781671.842859,103537
1615680000000,2021-03-14,TOMOUSDT,2.3933,2.715,2.201,2.5292,8949698.94,22317561.112886,79277
1615593600000,2021-03-13,TOMOUSDT,2.2973,2.4884,2.1532,2.3914,7050311.67,16368160.733784,57387
1615507200000,2021-03-12,TOMOUSDT,2.4775,2.5459,2.203,2.2973,10374866.36,24738717.482054,96680
1615420800000,2021-03-11,TOMOUSDT,2.6005,2.7052,2.4301,2.4781,8186689.83,20872596.51031,71545
1615334400000,2021-03-10,TOMOUSDT,2.5933,2.8888,2.3846,2.6032,10452866.81,27440487.899627,102815
1615248000000,2021-03-09,TOMOUSDT,2.5511,2.75,2.4599,2.5956,9021054.87,23347171.340777,89551
1615161600000,2021-03-08,TOMOUSDT,2.7777,2.7822,2.3681,2.5532,20016657.15,50229474.089124,166212
1615075200000,2021-03-07,TOMOUSDT,2.054,2.98,2.0343,2.7727,59913262.58,153553191.855767,365267
1614988800000,2021-03-06,TOMOUSDT,1.8651,2.09,1.7713,2.0538,8880768.44,17270772.646628,70619
1614902400000,2021-03-05,TOMOUSDT,1.8843,1.9321,1.7424,1.8641,6178382.64,11316986.76447,51295
1614816000000,2021-03-04,TOMOUSDT,2.0394,2.1113,1.7498,1.885,12018118.57,22999401.37248,83051
1614729600000,2021-03-03,TOMOUSDT,1.7789,2.28,1.7514,2.0394,15898061.66,32667014.638462,109076
1614643200000,2021-03-02,TOMOUSDT,1.7933,1.9388,1.6901,1.7818,9434257.46,17080534.997432,72534
1614556800000,2021-03-01,TOMOUSDT,1.6998,1.8472,1.682,1.791,6305614.21,11169496.027306,46124
1614470400000,2021-02-28,TOMOUSDT,1.8168,1.8228,1.5187,1.6999,9225759.76,15159424.73007,58280
1614384000000,2021-02-27,TOMOUSDT,1.8787,2.1659,1.7379,1.8171,8660483.67,16646095.016766,58944
1614297600000,2021-02-26,TOMOUSDT,1.86,2.1111,1.7241,1.8787,13631749.9,26097726.724426,80087
1614211200000,2021-02-25,TOMOUSDT,2.1161,2.41,1.8285,1.854,15145801.18,32507162.614382,98049
1614124800000,2021-02-24,TOMOUSDT,2.3266,2.6955,2.0162,2.1121,32595652.62,76573130.058908,192709
1614038400000,2021-02-23,TOMOUSDT,2.0585,2.3869,1.4459,2.3392,36900875.16,70934169.602605,202399
1613952000000,2021-02-22,TOMOUSDT,1.9857,2.18,1.44,2.0592,21414941.98,40520838.760855,134012
1613865600000,2021-02-21,TOMOUSDT,1.9,2.0769,1.8462,1.9855,5411144.17,10667673.22638,44962
1613779200000,2021-02-20,TOMOUSDT,2.0887,2.19,1.7817,1.9,8328518.34,16977147.924793,69543
1613692800000,2021-02-19,TOMOUSDT,2.1527,2.19,1.9424,2.0885,5906654.91,12139516.699105,48406
1613606400000,2021-02-18,TOMOUSDT,1.9833,2.24,1.9735,2.1472,9126924.87,19183566.534472,68578
1613520000000,2021-02-17,TOMOUSDT,1.9195,2.0601,1.7159,1.9839,15271759.41,29881331.178955,76534
1613433600000,2021-02-16,TOMOUSDT,1.9546,2.1,1.8415,1.9161,11231517.08,22194030.709921,70398
1613347200000,2021-02-15,TOMOUSDT,2.153,2.2386,1.6886,1.9547,12322815.24,24746586.656816,88353
1613260800000,2021-02-14,TOMOUSDT,2.3879,2.4296,1.9856,2.1533,13118233.6,29024042.915847,103152
1613174400000,2021-02-13,TOMOUSDT,2.2298,2.47,1.9227,2.3882,14047130.17,30513549.861322,98862
1613088000000,2021-02-12,TOMOUSDT,1.9189,2.28,1.9001,2.225,9995037.46,20962052.481856,74215
1613001600000,2021-02-11,TOMOUSDT,1.94,2.0913,1.8429,1.9107,7650488.28,15015086.746611,62181
1612915200000,2021-02-10,TOMOUSDT,1.9686,2.0172,1.6054,1.9391,12991807.6,24184962.499734,97408
1612828800000,2021-02-09,TOMOUSDT,1.6754,2.078,1.6425,1.9727,10640848.4,19495576.832856,73068
1612742400000,2021-02-08,TOMOUSDT,1.6444,1.7871,1.601,1.6766,6380938.17,10855017.908776,47478
1612656000000,2021-02-07,TOMOUSDT,1.6115,1.762,1.5114,1.6444,9747172.35,16110953.595047,62643
1612569600000,2021-02-06,TOMOUSDT,1.8013,1.8309,1.5202,1.6101,15307854.84,25297970.954133,99657
1612483200000,2021-02-05,TOMOUSDT,1.61,1.89,1.61,1.8009,9857933.88,17162093.731001,69072
1612396800000,2021-02-04,TOMOUSDT,1.4857,1.689,1.39,1.6118,8622036.3,13410391.407986,60166
1612310400000,2021-02-03,TOMOUSDT,1.3621,1.5438,1.3401,1.484,7705192.56,11248896.297664,50552
1612224000000,2021-02-02,TOMOUSDT,1.3345,1.4227,1.2951,1.362,5776287.56,7850537.525379,38500
1612137600000,2021-02-01,TOMOUSDT,1.2576,1.3577,1.2035,1.335,3985958.96,5085612.857782,27765
1612051200000,2021-01-31,TOMOUSDT,1.3268,1.358,1.22,1.2572,4251419.97,5472829.479712,28893
1611964800000,2021-01-30,TOMOUSDT,1.2071,1.373,1.2037,1.3251,5950214,7704824.596985,36461
1611878400000,2021-01-29,TOMOUSDT,1.21,1.296,1.1523,1.2071,5070342.21,6083095.04819,29075
1611792000000,2021-01-28,TOMOUSDT,1.1833,1.2787,1.1456,1.2102,3458555.33,4227655.347089,22248
1611705600000,2021-01-27,TOMOUSDT,1.2179,1.3273,1.1632,1.1841,6197855.57,7655053.201882,34187
1611619200000,2021-01-26,TOMOUSDT,1.2344,1.2714,1.1312,1.2196,2669284.6,3198643.624049,15584
1611532800000,2021-01-25,TOMOUSDT,1.2934,1.3423,1.23,1.2378,3305530.35,4279724.886442,20174
1611446400000,2021-01-24,TOMOUSDT,1.296,1.3465,1.26,1.2978,2947982.69,3859097.788035,19598
1611360000000,2021-01-23,TOMOUSDT,1.2115,1.38,1.1929,1.296,4600192.86,6025740.290775,29930
1611273600000,2021-01-22,TOMOUSDT,1.1391,1.2799,1.0245,1.2131,3788478.92,4467241.769276,23079
1611187200000,2021-01-21,TOMOUSDT,1.3443,1.37,1.12,1.1393,4573746.16,5652669.915574,25668
1611100800000,2021-01-20,TOMOUSDT,1.2617,1.3525,1.216,1.3431,5543772.17,7165078.69316,36326
1611014400000,2021-01-19,TOMOUSDT,1.3726,1.406,1.2617,1.2617,3589545.15,4803383.811096,25309
1610928000000,2021-01-18,TOMOUSDT,1.3281,1.4091,1.2987,1.3746,3092168.12,4211431.683672,23450
1610841600000,2021-01-17,TOMOUSDT,1.3568,1.3903,1.282,1.3281,4411507.85,5900107.036466,33868
