https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume BUSD,tradecount
1583107200000,2020-03-02,BNBBUSD,18.8635,20.1377,18.7529,19.9119,25171.32,493215.010372,4406
1583020800000,2020-03-01,BNBBUSD,19.2222,19.8668,18.48,18.9225,26893.07,516879.202325,3232
1582934400000,2020-02-29,BNBBUSD,19.08,20.28,18.8235,19.2689,34926.65,678404.559455,3013
1582848000000,2020-02-28,BNBBUSD,19.1631,19.7525,17.9192,19.0454,33160.61,620922.599018,4328
1582761600000,2020-02-27,BNBBUSD,18.6554,19.6448,17.6503,19.1268,41874.28,780657.689438,3687
1582675200000,2020-02-26,BNBBUSD,20.3,20.4733,17.8705,18.6499,62585.09,1183926.545036,6430
1582588800000,2020-02-25,BNBBUSD,22.0815,22.0815,20.11,20.2982,30545.31,637190.288545,4631
1582502400000,2020-02-24,BNBBUSD,22.8738,23.2916,21.4801,22.0815,31777.13,712326.855706,4189
1582416000000,2020-02-23,BNBBUSD,21.9743,23.0526,21.9743,22.9306,20469.32,465017.265828,3070
1582329600000,2020-02-22,BNBBUSD,22.1279,22.3337,21.5,21.9848,18116.48,395886.748884,2424
1582243200000,2020-02-21,BNBBUSD,22.1566,22.8748,21.8113,22.1817,25834.32,574577.627398,3587
1582156800000,2020-02-20,BNBBUSD,22.2808,22.647,21.05,22.166,38305.08,837885.29894,4340
1582070400000,2020-02-19,BNBBUSD,24.1464,24.3495,21.7896,22.3986,32063.47,744238.293287,3690
1581984000000,2020-02-18,BNBBUSD,23.5103,24.5,22.8199,24.156,29936.46,706601.730944,3912
1581897600000,2020-02-17,BNBBUSD,23.2971,23.5822,21.5742,23.4537,57518.15,1293763.527807,4956
1581811200000,2020-02-16,BNBBUSD,24.2413,25.2244,21.8065,23.3382,63356.81,1493819.377396,5484
1581724800000,2020-02-15,BNBBUSD,26.4002,26.4638,23.4432,24.2405,69229.63,1717856.974498,6296
1581638400000,2020-02-14,BNBBUSD,25.4661,26.5546,25.0204,26.3883,26882.86,694059.255848,3973
1581552000000,2020-02-13,BNBBUSD,26.4779,27.2002,24.4427,25.4436,56078.53,1441569.576189,6730
1581465600000,2020-02-12,BNBBUSD,25.8,27.0,25.4518,26.5018,59566.23,1542423.416192,6199
1581379200000,2020-02-11,BNBBUSD,25.1153,25.8464,24.1632,25.7835,70767.25,1762995.297043,5744
1581292800000,2020-02-10,BNBBUSD,24.3812,25.8,23.3132,25.1267,106189.29,2618238.168667,7192
1581206400000,2020-02-09,BNBBUSD,21.8,24.3828,21.7945,24.3673,60864.72,1414867.064809,4780
1581120000000,2020-02-08,BNBBUSD,22.0102,22.1501,20.85,21.8255,37335.58,809172.902964,3024
1581033600000,2020-02-07,BNBBUSD,20.5964,22.4801,20.4482,22.0384,65129.8,1403566.936309,4975
1580947200000,2020-02-06,BNBBUSD,19.2408,20.7653,19.051,20.611,31511.57,636116.065052,3718
1580860800000,2020-02-05,BNBBUSD,18.153,19.4285,18.153,19.2414,11914.18,225572.99707,4087
1580774400000,2020-02-04,BNBBUSD,18.4365,18.5771,17.8418,18.0975,5028.63,91005.260363,1303
1580688000000,2020-02-03,BNBBUSD,18.4,18.8571,18.155,18.4365,7719.86,142249.072451,1417
1580601600000,2020-02-02,BNBBUSD,18.2471,18.7462,17.8418,18.4035,9566.59,175751.631108,1895
1580515200000,2020-02-01,BNBBUSD,18.2203,18.5482,18.02,18.2175,4977.9,90801.168339,1110
1580428800000,2020-01-31,BNBBUSD,18.5308,18.8122,17.7966,18.2203,7577.63,138200.331861,1871
1580342400000,2020-01-30,BNBBUSD,17.8682,18.6518,17.6582,18.5061,11634.78,211269.374943,2536
1580256000000,2020-01-29,BNBBUSD,18.0582,18.3935,17.79,17.8696,9897.71,179396.124446,1774
1580169600000,2020-01-28,BNBBUSD,17.64,18.1231,17.3277,18.0918,16851.49,299361.254715,2758
1580083200000,2020-01-27,BNBBUSD,17.46,17.8359,17.19,17.64,7977.35,140103.759744,1555
1579996800000,2020-01-26,BNBBUSD,16.8939,17.4597,16.8089,17.4597,3428.8,58850.475485,818
1579910400000,2020-01-25,BNBBUSD,17.0266,17.064,16.534,16.8986,6291.89,105568.717016,1290
1579824000000,2020-01-24,BNBBUSD,17.0163,17.382,16.4198,17.0688,10136.97,172147.530766,2054
1579737600000,2020-01-23,BNBBUSD,17.7106,17.7106,16.6929,17.0109,13408.8,228291.388621,2126
1579651200000,2020-01-22,BNBBUSD,18.1123,18.3525,17.3276,17.7636,15227.99,271717.890068,1825
1579564800000,2020-01-21,BNBBUSD,17.276,18.16,17.1965,18.0964,9754.16,172436.755314,2018
1579478400000,2020-01-20,BNBBUSD,17.3714,17.5,16.7828,17.28,5375.19,92269.743747,1341
1579392000000,2020-01-19,BNBBUSD,17.7742,18.4428,16.6612,17.3714,18048.7,315853.147735,4032
1579305600000,2020-01-18,BNBBUSD,18.0188,18.3103,17.4456,17.7795,11934.02,213537.786829,2630
1579219200000,2020-01-17,BNBBUSD,17.0602,18.4247,17.0602,18.028,17413.97,311395.978638,2365
1579132800000,2020-01-16,BNBBUSD,17.6277,17.6277,16.3,17.04,10866.81,182135.267456,2510
1579046400000,2020-01-15,BNBBUSD,16.625,18.119,16.2629,17.6277,14949.35,257991.470394,2934
1578960000000,2020-01-14,BNBBUSD,15.18,16.9082,15.1613,16.65,18030.1,290349.67745,3184
1578873600000,2020-01-13,BNBBUSD,15.3356,15.34,14.911,15.18,2209.42,33206.097355,624
1578787200000,2020-01-12,BNBBUSD,14.88,15.4352,14.8059,15.325,4630.18,70538.061599,901
1578700800000,2020-01-11,BNBBUSD,15.0412,15.2919,14.74,14.896,5936.8,89563.315179,970
1578614400000,2020-01-10,BNBBUSD,14.3367,15.0588,14.1,15.0311,5600.06,81479.030229,1299
1578528000000,2020-01-09,BNBBUSD,14.5006,14.5674,14.1966,14.3463,9528.05,137707.109672,998
1578441600000,2020-01-08,BNBBUSD,15.0397,15.3084,14.1686,14.5061,5396.93,79468.773111,1181
1578355200000,2020-01-07,BNBBUSD,14.9658,15.1766,14.4611,15.0244,8396.02,125250.086883,1067
1578268800000,2020-01-06,BNBBUSD,14.0176,14.9923,13.9941,14.9613,2712.81,39441.611162,1019
1578182400000,2020-01-05,BNBBUSD,13.7799,14.2921,13.7745,14.0176,10856.0,152275.770213,908
1578096000000,2020-01-04,BNBBUSD,13.6014,13.8441,13.4546,13.7666,1802.28,24655.16866,556
1578009600000,2020-01-03,BNBBUSD,12.9544,13.734,12.9334,13.6024,3560.6,48267.56718,680
1577923200000,2020-01-02,BNBBUSD,13.6365,13.673,12.9481,12.9863,1093.52,14457.882036,461
1577836800000,2020-01-01,BNBBUSD,13.6292,13.8192,13.5944,13.6794,1409.82,19304.979102,394
1577750400000,2019-12-31,BNBBUSD,13.7843,13.9803,13.5814,13.6862,4083.47,56310.109362,482
1577664000000,2019-12-30,BNBBUSD,14.064,14.3375,13.7271,13.7918,2894.64,40786.355187,696
1577577600000,2019-12-29,BNBBUSD,13.6036,14.1764,13.5464,14.099,3053.25,42281.443803,691
1577491200000,2019-12-28,BNBBUSD,13.2484,13.6807,13.24,13.6295,2526.04,33900.703295,428
1577404800000,2019-12-27,BNBBUSD,13.0974,13.2798,12.8624,13.2798,1954.62,25669.243205,477
1577318400000,2019-12-26,BNBBUSD,13.0875,13.507,13.0159,13.1035,1616.43,21460.048971,500
1577232000000,2019-12-25,BNBBUSD,13.3049,13.3473,12.8542,13.0443,1513.16,19830.498287,617
1577145600000,2019-12-24,BNBBUSD,13.2696,13.5523,13.2111,13.3438,1780.0,23819.871549,531
1577059200000,2019-12-23,BNBBUSD,13.8189,13.9213,13.1785,13.3311,4106.2,55791.414874,791
